DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2014-S2,157,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2015-S1,157,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2015-S2,157,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2016-S1,160,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2016-S2,160,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2017-S1,163,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2017-S2,181,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2018-S1,181,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2018-S2,191,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2019-S1,211,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2019-S2,212,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2020-S1,213,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2020-S2,209,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2021-S1,243,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2021-S2,245,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2022-S1,248,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2022-S2,269,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2023-S1,298,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2023-S2,376,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2024-S1,385,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2024-S2,399,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2025-S1,408,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2025-S2,408,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2026-S1,517,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2026-S2,531,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,1999-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,1999-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2000-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2000-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2001-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2001-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2002-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2002-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2003-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2003-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2004-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2004-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2005-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2005-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2006-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2006-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2007-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2007-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2008-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2008-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2009-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2009-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2010-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2010-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2011-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2011-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2012-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2012-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2013-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2013-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2014-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2014-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2015-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2015-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2016-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2016-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2017-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2017-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2018-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2018-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2019-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2019-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2020-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2020-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2021-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2021-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2022-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2022-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2023-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2023-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2024-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2024-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2025-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2025-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2026-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AT,2026-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,1999-S1,1074,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,1999-S2,1096,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2000-S1,1096,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2000-S2,1096,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2001-S1,1118,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2001-S2,1140,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2002-S1,1140,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2002-S2,1163,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2003-S1,1163,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2003-S2,1186,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2004-S1,1186,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2004-S2,1186,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2005-S1,1210,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2005-S2,1210,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2006-S1,1234,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2006-S2,1234,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2007-S1,1259,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2007-S2,1283,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2008-S1,1310,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2008-S2,1336,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2009-S1,1388,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2009-S2,1388,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2010-S1,1388,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2010-S2,1388,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2011-S1,1415,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2011-S2,1444,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2012-S1,1444,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2012-S2,1472,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2013-S1,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2013-S2,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2014-S1,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2014-S2,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2015-S1,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2015-S2,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2016-S1,1502,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2016-S2,1532,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2017-S1,1532,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2017-S2,1563,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2018-S1,1563,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2018-S2,1563,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2019-S1,1594,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2019-S2,1594,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2020-S1,1594,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2020-S2,1626,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2021-S1,1626,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2021-S2,1626,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2022-S1,1658,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2022-S2,1842,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2023-S1,1955,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2023-S2,1955,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2024-S1,1994,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2024-S2,2070,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2025-S1,2070,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2025-S2,2112,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2026-S1,2112,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BE,2026-S2,2234,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,1999-S1,31,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,1999-S2,34,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2000-S1,34,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2000-S2,38,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2001-S1,40,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2001-S2,43,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2002-S1,51,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2002-S2,51,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2003-S1,56,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2003-S2,56,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2004-S1,61,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2004-S2,61,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2005-S1,77,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2005-S2,77,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2006-S1,82,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2006-S2,82,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2007-S1,92,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2007-S2,92,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2008-S1,112,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2008-S2,112,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2009-S1,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2009-S2,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2010-S1,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2010-S2,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2011-S1,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2011-S2,123,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2012-S1,138,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2012-S2,148,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2013-S1,159,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2013-S2,159,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2014-S1,174,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2014-S2,174,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2015-S1,184,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2015-S2,194,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2016-S1,215,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2016-S2,215,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2017-S1,235,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2017-S2,235,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2018-S1,261,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2018-S2,261,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2019-S1,286,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2019-S2,286,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2020-S1,312,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2020-S2,312,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2021-S1,332,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2021-S2,332,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2022-S1,332,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2022-S2,363,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2023-S1,399,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2023-S2,399,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2024-S1,477,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2024-S2,477,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2025-S1,551,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2025-S2,551,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2026-S1,620,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,BG,2026-S2,620,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,1999-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,1999-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2000-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2000-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2001-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2001-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2002-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2002-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2003-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2003-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2004-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2004-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2005-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2005-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2006-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2006-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2007-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2007-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2008-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2008-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2009-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2009-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2010-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2010-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2011-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2011-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2012-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2012-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2013-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2013-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2014-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2014-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2015-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2015-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2016-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2016-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2017-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2017-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2018-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2018-S2,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2019-S1,,m,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,CH,2019-S2,,m,
